Aranguez,Aranguez,",Trinidad","Aranguez,Trinidad"
Arima,Arima,",Trinidad","Arima,Trinidad"
Arena,Arena,",Trinidad","Arena,Trinidad"
Arouca,Arouca,",Trinidad","Arouca,Trinidad"
"Arquart (Aquat, Aquart, or Urquart) Village","Arquart (Aquat, Aquart, or Urquart) Village",",Trinidad","Arquart (Aquat, Aquart, or Urquart) Village,Trinidad"
Auzonville,Auzonville,",Trinidad","Auzonville,Trinidad"
Avocat,Avocat,",Trinidad","Avocat,Trinidad"
Balmain,Balmain,",Trinidad","Balmain,Trinidad"
Bamboo (#1 & #3),Bamboo (#1 & #3),",Trinidad","Bamboo (#1 & #3),Trinidad"
Bamboo #2,Bamboo #2,",Trinidad","Bamboo #2,Trinidad"
Bangladesh,Bangladesh,",Trinidad","Bangladesh,Trinidad"
Barataria,Barataria,",Trinidad","Barataria,Trinidad"
Barrackpore,Barrackpore,",Trinidad","Barrackpore,Trinidad"
Basta Hall,Basta Hall,",Trinidad","Basta Hall,Trinidad"
Beetham Estate Gardens,Beetham Estate Gardens,",Trinidad","Beetham Estate Gardens,Trinidad"
Belmont,Belmont,",Trinidad","Belmont,Trinidad"
Ben Lomond,Ben Lomond,",Trinidad","Ben Lomond,Trinidad"
Biche,Biche,",Trinidad","Biche,Trinidad"
Blanchisseuse,Blanchisseuse,",Trinidad","Blanchisseuse,Trinidad"
Boissiere Village,Boissiere Village,",Trinidad","Boissiere Village,Trinidad"
Bonne Aventure,Bonne Aventure,",Trinidad","Bonne Aventure,Trinidad"
Bonasse,Bonasse,",Trinidad","Bonasse,Trinidad"
Borde Narve Village,Borde Narve Village,",Trinidad","Borde Narve Village,Trinidad"
Bourg Mulatresse,Bourg Mulatresse,",Trinidad","Bourg Mulatresse,Trinidad"
Brasso,Brasso,",Trinidad","Brasso,Trinidad"
Brasso Seco,Brasso Seco,",Trinidad","Brasso Seco,Trinidad"
Brazil,Brazil,",Trinidad","Brazil,Trinidad"
Brickfield,Brickfield,",Trinidad","Brickfield,Trinidad"
Brighton,Brighton,",Trinidad","Brighton,Trinidad"
Buen Intento Village,Buen Intento Village,",Trinidad","Buen Intento Village,Trinidad"
Buenos Ayres,Buenos Ayres,",Trinidad","Buenos Ayres,Trinidad"
Caigual,Caigual,",Trinidad","Caigual,Trinidad"
Calcutta Settlement,Calcutta Settlement,",Trinidad","Calcutta Settlement,Trinidad"
California,California,",Trinidad","California,Trinidad"
"Canaan, Trinidad","Canaan, Trinidad",",Trinidad","Canaan, Trinidad,Trinidad"
Cantaro,Cantaro,",Trinidad","Cantaro,Trinidad"
Carapichaima,Carapichaima,",Trinidad","Carapichaima,Trinidad"
Carenage,Carenage,",Trinidad","Carenage,Trinidad"
Carli Bay,Carli Bay,",Trinidad","Carli Bay,Trinidad"
Carlsen Field,Carlsen Field,",Trinidad","Carlsen Field,Trinidad"
Cascade,Cascade,",Trinidad","Cascade,Trinidad"
Caura,Caura,",Trinidad","Caura,Trinidad"
Cedar Hill Village,Cedar Hill Village,",Trinidad","Cedar Hill Village,Trinidad"
Cedros,Cedros,",Trinidad","Cedros,Trinidad"
Centeno,Centeno,",Trinidad","Centeno,Trinidad"
Chaguanas,Chaguanas,",Trinidad","Chaguanas,Trinidad"
Chaguaramas,Chaguaramas,",Trinidad","Chaguaramas,Trinidad"
Champs Fleurs,Champs Fleurs,",Trinidad","Champs Fleurs,Trinidad"
Chandernagore Village,Chandernagore Village,",Trinidad","Chandernagore Village,Trinidad"
Charuma,Charuma,",Trinidad","Charuma,Trinidad"
Chase Village,Chase Village,",Trinidad","Chase Village,Trinidad"
Chatham,Chatham,",Trinidad","Chatham,Trinidad"
Churkoo Village,Churkoo Village,",Trinidad","Churkoo Village,Trinidad"
Claxton Bay,Claxton Bay,",Trinidad","Claxton Bay,Trinidad"
Cocorite,Cocorite,",Trinidad","Cocorite,Trinidad"
Cocoyea Village,Cocoyea Village,",Trinidad","Cocoyea Village,Trinidad"
Congo Village,Congo Village,",Trinidad","Congo Village,Trinidad"
Coryal,Coryal,",Trinidad","Coryal,Trinidad"
Couva,Couva,",Trinidad","Couva,Trinidad"
Cumaca,Cumaca,",Trinidad","Cumaca,Trinidad"
Cumuto,Cumuto,",Trinidad","Cumuto,Trinidad"
Cunupia,Cunupia,",Trinidad","Cunupia,Trinidad"
Curepe,Curepe,",Trinidad","Curepe,Trinidad"
Cushe,Cushe,",Trinidad","Cushe,Trinidad"
D'Abadie,D'Abadie,",Trinidad","D'Abadie,Trinidad"
Datsunville,Datsunville,",Trinidad","Datsunville,Trinidad"
Debe,Debe,",Trinidad","Debe,Trinidad"
Diamond Village,Diamond Village,",Trinidad","Diamond Village,Trinidad"
Dibe,Dibe,",Trinidad","Dibe,Trinidad"
Diego Martin,Diego Martin,",Trinidad","Diego Martin,Trinidad"
Dinsley,Dinsley,",Trinidad","Dinsley,Trinidad"
"Dow Village, Couva","Dow Village, Couva",",Trinidad","Dow Village, Couva,Trinidad"
"Dow Village, Siparia","Dow Village, Siparia",",Trinidad","Dow Village, Siparia,Trinidad"
Duncan Village,Duncan Village,",Trinidad","Duncan Village,Trinidad"
Ecclesville,Ecclesville,",Trinidad","Ecclesville,Trinidad"
Eckel Village,Eckel Village,",Trinidad","Eckel Village,Trinidad"
Edinburgh,Edinburgh,",Trinidad","Edinburgh,Trinidad"
